Acetobacterium woodii
Anopheles gambiae
Arabidopsis thaliana
Bacillus subtilis
Bos taurus
Caenorhabditis elegans
Canis familiaris
Danio rerio
Drosophila melanogaster
Escherichia coli
Equus caballus
Gallus gallus
Gibberella zeae
Homo sapiens
Hordeum vulgare
Mus musculus
Mycobacterium tuberculosis
Oryza sativa
Pan troglodytes
Populus trichocarpa
Rattus norvegicus
Saccharomyces cerevisiae
Solanum lycopersicum
Sus scrofa
Vitis vinifera
Zea mays
Plasmodium falciparum
Brassica napus
